Name,Geo_id,0 - 19999,20000 - 39999,40000 - 59999,60000 - 99999,100000 - 149999,150000 - 199999,200000 or more
"Tuscola County, Michigan",0500000US26157,3611,4185,4383,5521,2712,676,197
"Van Buren County, Michigan",0500000US26159,4242,5511,4815,6192,4558,2085,1054
"Washtenaw County, Michigan",0500000US26161,17824,21472,19829,31297,26448,12580,19683
"Wayne County, Michigan",0500000US26163,132514,137509,112570,142545,90842,40444,38614
"Wexford County, Michigan",0500000US26165,2656,2973,2287,3395,2295,571,167
"Anoka County, Minnesota",0500000US27003,9020,15481,17558,35088,28928,15205,13985
"Becker County, Minnesota",0500000US27005,1797,2118,2271,4270,1925,745,997
"Beltrami County, Minnesota",0500000US27007,2071,2594,4363,4649,2629,1069,1427
"Benton County, Minnesota",0500000US27009,1432,2570,3851,4464,3288,843,475
"Blue Earth County, Minnesota",0500000US27013,3233,4506,4216,7136,4342,3086,1085
"Brown County, Minnesota",0500000US27015,1246,2033,2065,3130,1905,337,413
"Carlton County, Minnesota",0500000US27017,1329,2443,2561,4143,2290,1056,654
"Carver County, Minnesota",0500000US27019,2106,4653,4107,8796,7468,6295,6716
"Cass County, Minnesota",0500000US27021,1838,2375,2536,3090,1950,722,589
"Chisago County, Minnesota",0500000US27025,1590,2867,3132,4825,5178,2568,1497
"Clay County, Minnesota",0500000US27027,3634,3265,5090,5334,5122,1435,2356
"Crow Wing County, Minnesota",0500000US27035,3257,4518,4854,7036,5321,1319,1448
"Dakota County, Minnesota",0500000US27037,10064,18412,21457,40938,36977,21569,21279
"Dodge County, Minnesota",0500000US27039,721,704,931,2461,1780,906,526
"Douglas County, Minnesota",0500000US27041,2513,3239,2852,4762,2940,1003,921
"Fillmore County, Minnesota",0500000US27045,1212,1335,1137,2444,1763,370,327
"Freeborn County, Minnesota",0500000US27047,1582,2384,1943,3648,2466,669,459
"Goodhue County, Minnesota",0500000US27049,2901,2331,2810,4884,3945,1542,1000
"Hennepin County, Minnesota",0500000US27053,53930,64303,69303,115527,97198,55879,76009
"Hubbard County, Minnesota",0500000US27057,947,1571,1326,2304,1387,560,442
"Isanti County, Minnesota",0500000US27059,1908,2065,2855,3708,3270,705,1291
"Itasca County, Minnesota",0500000US27061,2639,3437,2889,4921,2019,1029,644
"Kandiyohi County, Minnesota",0500000US27067,1997,2941,3209,4898,3186,1051,716
"Le Sueur County, Minnesota",0500000US27079,948,1290,1722,3124,2452,890,977
"Lyon County, Minnesota",0500000US27083,1518,1558,1242,2552,1935,592,388
"McLeod County, Minnesota",0500000US27085,1736,2191,3596,3567,2581,731,936
"Martin County, Minnesota",0500000US27091,954,1729,1987,2106,1147,703,307
"Meeker County, Minnesota",0500000US27093,978,1896,1392,2577,1836,508,292
"Mille Lacs County, Minnesota",0500000US27095,1250,1669,1639,2826,2112,614,264
"Morrison County, Minnesota",0500000US27097,1766,2655,2148,3355,2661,717,571
"Mower County, Minnesota",0500000US27099,1542,2564,3714,3726,2591,822,637
"Nicollet County, Minnesota",0500000US27103,1187,1739,2329,3390,2490,678,1298
"Nobles County, Minnesota",0500000US27105,1232,1192,1736,1613,1235,363,352
"Olmsted County, Minnesota",0500000US27109,7664,5485,9090,15661,12607,5398,9217
"Otter Tail County, Minnesota",0500000US27111,2984,4643,3992,6366,3682,1391,1417
"Pine County, Minnesota",0500000US27115,1563,1844,2111,3254,2251,357,298
"Polk County, Minnesota",0500000US27119,1833,2305,1976,2916,1495,980,563
"Ramsey County, Minnesota",0500000US27123,24442,30662,35770,53223,35157,19958,19605
"Rice County, Minnesota",0500000US27131,1932,4406,3555,6124,3858,2079,1825
"St. Louis County, Minnesota",0500000US27137,12505,14376,13520,20920,14395,5265,4595
"Scott County, Minnesota",0500000US27139,2456,5023,6408,12125,11580,7375,10360
"Sherburne County, Minnesota",0500000US27141,2883,3838,3549,9147,6662,5706,2953
"Stearns County, Minnesota",0500000US27145,8728,8900,10957,14314,11722,4742,2805
"Steele County, Minnesota",0500000US27147,1904,3059,1945,3630,2348,1598,862
"Todd County, Minnesota",0500000US27153,1259,1770,1800,2792,1282,305,343
"Wabasha County, Minnesota",0500000US27157,1163,1144,1390,2307,2040,681,492
"Washington County, Minnesota",0500000US27163,6081,8997,10326,22327,21422,15142,18126
"Winona County, Minnesota",0500000US27169,2815,4625,2995,5098,3476,980,1070
"Wright County, Minnesota",0500000US27171,3242,5048,5926,11944,15047,6747,4306
"Adams County, Mississippi",0500000US28001,2616,2609,2141,2221,667,582,121
"Alcorn County, Mississippi",0500000US28003,4001,2756,1583,3324,1852,577,353
"Bolivar County, Mississippi",0500000US28011,4214,2699,1287,1482,687,565,701
"Coahoma County, Mississippi",0500000US28027,3224,2179,664,1386,554,142,322
"Copiah County, Mississippi",0500000US28029,2286,2409,1839,1999,1295,635,210
"DeSoto County, Mississippi",0500000US28033,9227,10986,10271,17338,12264,5985,2895
"Forrest County, Mississippi",0500000US28035,6581,6505,5979,5334,3523,1277,1401
"George County, Mississippi",0500000US28039,2382,1915,1292,1769,1068,1110,126
"Grenada County, Mississippi",0500000US28043,1342,3248,1192,1116,342,161,132
"Hancock County, Mississippi",0500000US28045,3060,3762,3370,5114,2020,447,225
"Harrison County, Mississippi",0500000US28047,14337,16366,12648,19926,11462,3046,3439
"Hinds County, Mississippi",0500000US28049,22325,22598,14988,17178,8168,2798,3012
"Itawamba County, Mississippi",0500000US28057,1404,2501,1010,2836,795,411,304
"Jackson County, Mississippi",0500000US28059,8755,11435,9154,13117,8686,3115,2722
"Jones County, Mississippi",0500000US28067,5431,6259,3619,4855,2399,314,629
"Lafayette County, Mississippi",0500000US28071,3485,3709,4269,3158,2414,952,1029
"Lamar County, Mississippi",0500000US28073,2792,4579,4276,5573,5474,1567,1427
"Lauderdale County, Mississippi",0500000US28075,7077,6704,4996,4120,4026,544,745
"Leake County, Mississippi",0500000US28079,1495,1194,1212,1524,475,281,146
"Lee County, Mississippi",0500000US28081,6360,6184,3932,7308,5054,1895,1989
