Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Tampa city, Florida",1600000US1271000,44432,2895,73730,3678
"Hartford city, Connecticut",1600000US0937000,34240,2779,47159,3280
"Norwalk city, Connecticut",1600000US0955990,85052,11477,117163,11078
"Kendall CDP, Florida",1600000US1236100,72663,7319,103792,15726
"Miami Beach city, Florida",1600000US1245025,50937,3124,118892,20668
"Davie town, Florida",1600000US1216475,60959,3209,87598,7060
"Bloomington city, Minnesota",1600000US2706616,67845,3573,83293,4687
"Indio city, California",1600000US0636448,52343,3974,69845,7141
"Murrieta city, California",1600000US0650076,74594,7951,89331,6455
"Fresno city, California",1600000US0627000,43494,2788,60831,2323
"Oceanside city, California",1600000US0653322,60720,3282,75993,4396
"Denver city, Colorado",1600000US0820000,58003,2702,84540,2431
"Lancaster city, California",1600000US0640130,49729,4572,63296,3346
"Elk Grove city, California",1600000US0622020,84454,4831,98037,4637
"Mountain View city, California",1600000US0649670,120102,7978,153872,10685
"Lake Forest city, California",1600000US0639496,87084,11363,111393,8051
"Santa Ana city, California",1600000US0669000,54392,2242,68903,2968
"Sioux City city, Iowa",1600000US1973335,47584,7117,59728,5156
"Davenport city, Iowa",1600000US1919000,49745,5197,60390,4100
"Portland city, Maine",1600000US2360545,52139,4867,67986,4123
"Metairie CDP, Louisiana",1600000US2250115,53715,2980,72475,3745
"Cape Coral city, Florida",1600000US1210275,51464,2418,62432,3316
"Carmel city, Indiana",1600000US1810342,108660,8701,154617,12113
"Fort Myers city, Florida",1600000US1224125,41586,5464,57553,4932
"Nampa city, Idaho",1600000US1656260,40884,6194,50367,3992
"Bloomington city, Illinois",1600000US1706613,64339,5621,93542,8798
"Albany city, Georgia",1600000US1301052,31897,4296,44387,4109
"Westland city, Michigan",1600000US2686000,45538,3316,62072,7275
"Boulder city, Colorado",1600000US0807850,58547,5856,92896,5863
"Arvada city, Colorado",1600000US0803455,69596,5902,88702,4487
"Whittier city, California",1600000US0685292,70256,8812,85587,4524
"Stockton city, California",1600000US0675000,46795,2420,63337,4287
"Long Beach city, California",1600000US0643000,54971,2974,76223,2747
"Pasadena city, California",1600000US0656000,77312,4542,112675,8517
"Pomona city, California",1600000US0658072,51266,3394,64411,3174
"Napa city, California",1600000US0650258,74315,5552,97394,7283
"Topeka city, Kansas",1600000US2071000,43860,4250,58580,3601
"Cedar Rapids city, Iowa",1600000US1912000,51011,3859,68063,4851
"Iowa City city, Iowa",1600000US1938595,47593,6534,63917,5180
"Savannah city, Georgia",1600000US1369000,35827,2665,52834,3905
"Town 'n' Country CDP, Florida",1600000US1272145,48565,5542,61852,5156
"Boca Raton city, Florida",1600000US1207300,71678,9931,122058,10534
"Lakeland city, Florida",1600000US1238250,41007,2386,56281,4863
"Columbus city, Georgia",1600000US1319000,41859,2119,58071,3897
"Miami Gardens city, Florida",1600000US1245060,37672,2746,46761,3225
"Naperville city, Illinois",1600000US1751622,105848,6678,133296,6273
"Eagan city, Minnesota",1600000US2717288,78417,6002,103723,7709
