Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Prince William County, Virginia",0500000US51153,106861,4562,130059,4964
"Fauquier County, Virginia",0500000US51061,104809,5958,132099,10537
"Christian County, Kentucky",0500000US21047,47445,6263,60690,7678
"Daviess County, Kentucky",0500000US21059,50964,4343,71078,7006
"Oldham County, Kentucky",0500000US21185,97968,9014,133900,10646
"Warren County, Kentucky",0500000US21227,52645,3318,74776,7377
"Bullitt County, Kentucky",0500000US21029,65560,4706,80659,4669
"Lee County, Alabama",0500000US01081,53712,6669,78000,6474
"Jefferson County, Alabama",0500000US01073,53944,2334,79833,2865
"Lauderdale County, Alabama",0500000US01077,46632,4682,62091,4367
"Limestone County, Alabama",0500000US01083,63695,7295,83580,6893
"Shelby County, Alabama",0500000US01117,75614,4757,101601,6057
"Baldwin County, Alabama",0500000US01003,56439,6268,81449,5336
"Elmore County, Alabama",0500000US01051,61854,5816,82576,7453
"Talladega County, Alabama",0500000US01121,50147,8550,62758,5540
"Morgan County, Alabama",0500000US01103,54338,3209,73817,5473
"DeKalb County, Alabama",0500000US01049,44208,5702,56777,4922
"Mobile County, Alabama",0500000US01097,49639,1885,64556,2476
"Calhoun County, Alabama",0500000US01015,48156,4922,61137,4376
"Blue Earth County, Minnesota",0500000US27013,61133,7285,75171,5264
"Citrus County, Florida",0500000US12017,50751,3560,65270,4706
"Santa Rosa County, Florida",0500000US12113,64930,6114,83717,5647
"Leon County, Florida",0500000US12073,54929,2127,75969,3422
"Broward County, Florida",0500000US12011,61502,1115,88786,2078
"Monroe County, Florida",0500000US12087,68589,7479,106365,8312
"Hernando County, Florida",0500000US12053,51031,2791,62821,2756
"Hillsborough County, Florida",0500000US12057,61154,1127,84812,1683
"Dougherty County, Georgia",0500000US13095,35062,4466,51382,5681
"Houston County, Georgia",0500000US13153,66740,8140,77442,4943
"Spalding County, Georgia",0500000US13255,51677,8133,68860,6953
"White County, Arkansas",0500000US05145,43399,4720,61441,6008
"Lake County, California",0500000US06033,47138,4388,67959,10434
"Yuba County, California",0500000US06115,58765,4763,74158,7068
"Sonoma County, California",0500000US06097,87828,3370,117426,4350
"Imperial County, California",0500000US06025,48472,3417,64050,4774
"Alameda County, California",0500000US06001,108322,2704,141427,2381
"Napa County, California",0500000US06055,92769,6473,130499,7942
"Yolo County, California",0500000US06113,71417,4589,107375,7157
"Nevada County, California",0500000US06057,68818,7165,97744,8230
"Mendocino County, California",0500000US06045,51744,4022,71732,6327
"Los Angeles County, California",0500000US06037,72797,749,104063,1090
"Santa Clara County, California",0500000US06085,133076,3515,180645,2745
"Jefferson County, Colorado",0500000US08059,90040,3085,115741,3279
"Adams County, Colorado",0500000US08001,75804,2672,91713,2703
"Boulder County, Colorado",0500000US08013,88535,3432,125894,7317
"Pueblo County, Colorado",0500000US08101,51276,4585,66317,3392
"Mesa County, Colorado",0500000US08077,60500,3156,78226,4919
"El Paso County, Colorado",0500000US08041,72830,1903,93351,2744
"Arapahoe County, Colorado",0500000US08005,82710,2865,110227,3483
"New Castle County, Delaware",0500000US10003,76328,2845,100948,3576
"Kent County, Delaware",0500000US10001,58001,5739,71690,4380
"Newport County, Rhode Island",0500000US44005,81652,4678,120476,12238
"Providence County, Rhode Island",0500000US44007,62994,2696,80824,2535
"Aiken County, South Carolina",0500000US45003,55634,6810,70238,3825
"Lexington County, South Carolina",0500000US45063,61631,2469,83728,3635
"Oconee County, South Carolina",0500000US45073,48204,5954,74520,10110
"Berkeley County, South Carolina",0500000US45015,69398,3695,88180,6077
"Charleston County, South Carolina",0500000US45019,71531,2664,104326,4849
"Anderson County, South Carolina",0500000US45007,54322,4167,75079,4426
"Greenwood County, South Carolina",0500000US45047,42148,3370,60025,7569
"Horry County, South Carolina",0500000US45051,53694,2584,70581,3039
"Kershaw County, South Carolina",0500000US45055,55198,8222,70638,5937
"Orangeburg County, South Carolina",0500000US45075,37701,3540,52664,6211
"Spartanburg County, South Carolina",0500000US45083,55339,3024,71932,3263
"Beaufort County, South Carolina",0500000US45013,74127,4032,109158,8924
"Richland County, South Carolina",0500000US45079,52293,2456,76348,3179
"Greenville County, South Carolina",0500000US45045,64412,2843,89338,2755
"Lancaster County, South Carolina",0500000US45057,63924,5459,82785,8356
"Dorchester County, South Carolina",0500000US45035,68200,6149,82692,4662
"Florence County, South Carolina",0500000US45041,50082,3475,67730,4956
"Laurens County, South Carolina",0500000US45059,47218,6102,67205,8772
"Pickens County, South Carolina",0500000US45077,52190,4750,66080,3828
"Greene County, Missouri",0500000US29077,43752,2648,63870,3696
"Jefferson County, Missouri",0500000US29099,69009,4643,79374,3245
"Boone County, Kentucky",0500000US21015,76443,7824,95188,6211
"Madison County, Kentucky",0500000US21151,49421,2914,68898,7422
"St. Louis County, Minnesota",0500000US27137,60434,2151,74937,2678
"Anoka County, Minnesota",0500000US27003,83353,2385,101333,2942
"Stearns County, Minnesota",0500000US27145,66558,2838,82412,3599
"Dakota County, Minnesota",0500000US27037,88864,3337,109318,3445
"Washington County, Minnesota",0500000US27163,100596,3481,131166,5180
