Name,Geo_id,0 - 19999,20000 - 39999,40000 - 59999,60000 - 99999,100000 - 149999,150000 - 199999,200000 or more
"Wagoner County, Oklahoma",0500000US40145,3399,4798,6035,8466,5019,1198,1271
"Washington County, Oklahoma",0500000US40147,3529,5080,2935,4135,2336,1394,1147
"Woodward County, Oklahoma",0500000US40153,890,1769,1052,1726,1055,100,137
"Benton County, Oregon",0500000US41003,6492,5605,4797,7331,6094,2931,2270
"Clackamas County, Oregon",0500000US41005,13135,21545,21984,40017,28683,13604,19781
"Clatsop County, Oregon",0500000US41007,2529,3477,2646,3509,2672,824,683
"Columbia County, Oregon",0500000US41009,2086,3346,4104,4631,3258,1107,606
"Coos County, Oregon",0500000US41011,4717,5965,6055,6474,2782,1092,804
"Crook County, Oregon",0500000US41013,1138,2827,1971,2384,663,480,402
"Curry County, Oregon",0500000US41015,1704,1810,2517,2869,891,168,474
"Deschutes County, Oregon",0500000US41017,9692,13315,11359,21130,12371,5672,6411
"Douglas County, Oregon",0500000US41019,7827,11051,8859,10540,5157,1410,803
"Hood River County, Oregon",0500000US41027,559,1413,1418,2613,1406,281,552
"Jackson County, Oregon",0500000US41029,13217,18493,15147,23750,11703,3470,4007
"Jefferson County, Oregon",0500000US41031,1524,1533,1439,2325,1647,441,75
"Josephine County, Oregon",0500000US41033,7308,7797,6875,9196,3403,1597,883
"Klamath County, Oregon",0500000US41035,5845,6494,4370,6991,2054,694,350
"Lane County, Oregon",0500000US41039,26239,33455,26606,38561,17873,6988,6350
"Lincoln County, Oregon",0500000US41041,3439,5055,4469,4498,2978,464,590
"Linn County, Oregon",0500000US41043,6657,9801,9865,12175,6457,1895,1614
"Malheur County, Oregon",0500000US41045,2053,2567,1429,2684,965,166,178
"Marion County, Oregon",0500000US41047,17585,24038,21057,28856,17926,5989,4060
"Multnomah County, Oregon",0500000US41051,43910,51718,45993,74203,57956,25519,30924
"Polk County, Oregon",0500000US41053,5113,4607,5571,8197,4395,2200,1135
"Tillamook County, Oregon",0500000US41057,1888,2361,2217,2651,1824,630,188
"Umatilla County, Oregon",0500000US41059,4665,5495,3181,7556,2871,1702,578
"Union County, Oregon",0500000US41061,2561,2204,1334,3445,1041,174,307
"Wasco County, Oregon",0500000US41065,1355,2226,1853,2553,1160,790,314
